mouse,day,session,filepath
22,39,OF1,Harry/EphysNeuropixelData/of/M22_D39_2024-10-27_13-12-14_OF1
22,39,OF2,Harry/EphysNeuropixelData/of/M22_D39_2024-10-27_14-20-29_OF2
22,39,VR,Harry/EphysNeuropixelData/vr/M22_D39_2024-10-27_13-40-56_VR1
22,40,OF1,Harry/EphysNeuropixelData/of/M22_D40_2024-10-28_13-04-16_OF1
22,40,OF2,Harry/EphysNeuropixelData/of/M22_D40_2024-10-28_14-07-32_OF2
22,40,VR,Harry/EphysNeuropixelData/vr/M22_D40_2024-10-28_13-28-49_VR1
22,41,OF1,Harry/EphysNeuropixelData/of/M22_D41_2024-10-31_14-02-16_OF1
22,41,OF2,Harry/EphysNeuropixelData/of/M22_D41_2024-10-31_15-54-35_OF2
22,41,VR,Harry/EphysNeuropixelData/vr/M22_D41_2024-10-31_14-24-28_VR1
25,16,OF1,Harry/EphysNeuropixelData/of/M25_D16_2024-11-02_10-52-02_OF1
25,16,OF2,Harry/EphysNeuropixelData/of/M25_D16_2024-11-02_12-01-45_OF2
25,16,VR,Harry/EphysNeuropixelData/vr/M25_D16_2024-11-02_11-21-48_VR1
25,17,OF1,Harry/EphysNeuropixelData/of/M25_D17_2024-11-04_11-15-37_OF1
25,17,OF2,Harry/EphysNeuropixelData/of/M25_D17_2024-11-04_12-41-11_OF2
25,17,VR,Harry/EphysNeuropixelData/vr/M25_D17_2024-11-04_11-46-28_VR1
25,18,OF1,Harry/EphysNeuropixelData/of/M25_D18_2024-11-05_12-08-47_OF1
25,18,OF2,Harry/EphysNeuropixelData/of/M25_D18_2024-11-05_13-17-34_OF2
25,18,VR,Harry/EphysNeuropixelData/vr/M25_D18_2024-11-05_12-38-28_VR1
25,19,OF1,Harry/EphysNeuropixelData/of/M25_D19_2024-11-07_11-32-00_OF1
25,19,OF2,Harry/EphysNeuropixelData/of/M25_D19_2024-11-07_12-37-02_OF2
25,19,VR,Harry/EphysNeuropixelData/vr/M25_D19_2024-11-07_11-58-47_VR1
25,20,OF1,Harry/EphysNeuropixelData/of/M25_D20_2024-11-08_11-25-37_OF1
25,20,OF2,Harry/EphysNeuropixelData/of/M25_D20_2024-11-08_12-29-01_OF2
25,20,VR,Harry/EphysNeuropixelData/vr/M25_D20_2024-11-08_11-52-50_VR1
25,21,OF1,Harry/EphysNeuropixelData/of/M25_D21_2024-11-09_12-41-10_OF1
25,21,OF2,Harry/EphysNeuropixelData/of/M25_D21_2024-11-09_13-52-17_OF2
25,21,VR,Harry/EphysNeuropixelData/vr/M25_D21_2024-11-09_13-15-21_VR1
25,22,OF1,Harry/EphysNeuropixelData/of/M25_D22_2024-11-10_13-06-26_OF1
25,22,OF2,Harry/EphysNeuropixelData/of/M25_D22_2024-11-10_14-02-04_OF2
25,22,VR,Harry/EphysNeuropixelData/vr/M25_D22_2024-11-10_13-24-13_VR1
25,23,OF1,Harry/EphysNeuropixelData/of/M25_D23_2024-11-11_13-11-10_OF1
25,23,OF2,Harry/EphysNeuropixelData/of/M25_D23_2024-11-11_14-13-29_OF2
25,23,VR,Harry/EphysNeuropixelData/vr/M25_D23_2024-11-11_13-35-31_VR1
25,24,OF1,Harry/EphysNeuropixelData/of/M25_D24_2024-11-12_13-00-24_OF1
25,24,OF2,Harry/EphysNeuropixelData/of/M25_D24_2024-11-12_13-59-21_OF2
25,24,VR,Harry/EphysNeuropixelData/vr/M25_D24_2024-11-12_13-22-38_VR1
25,25,OF1,Harry/EphysNeuropixelData/of/M25_D25_2024-11-13_13-32-25_OF1
25,25,OF2,Harry/EphysNeuropixelData/of/M25_D25_2024-11-13_14-40-58_OF2
25,25,VR,Harry/EphysNeuropixelData/vr/M25_D25_2024-11-13_13-59-48_VR1
26,11,OF1,Harry/EphysNeuropixelData/of/M26_D11_2024-10-25_12-35-18_OF1
26,11,OF2,Harry/EphysNeuropixelData/of/M26_D11_2024-10-25_13-59-49_OF2
26,11,VR,Harry/EphysNeuropixelData/vr/M26_D11_2024-10-25_13-22-28_VR1
26,12,OF1,Harry/EphysNeuropixelData/of/M26_D12_2024-10-26_14-17-38_OF1
26,12,OF2,Harry/EphysNeuropixelData/of/M26_D12_2024-10-26_15-29-06_OF2
26,12,VR,Harry/EphysNeuropixelData/vr/M26_D12_2024-10-26_14-55-25_VR1
26,13,OF1,Harry/EphysNeuropixelData/of/M26_D13_2024-10-27_14-55-58_OF1
26,13,OF2,Harry/EphysNeuropixelData/of/M26_D13_2024-10-27_16-20-50_OF2
26,13,VR,Harry/EphysNeuropixelData/vr/M26_D13_2024-10-27_15-20-39_VR1
26,14,OF1,Harry/EphysNeuropixelData/of/M26_D14_2024-10-28_14-41-07_OF1
26,14,OF2,Harry/EphysNeuropixelData/of/M26_D14_2024-10-28_15-42-49_OF2
26,14,VR,Harry/EphysNeuropixelData/vr/M26_D14_2024-10-28_15-05-43_VR1
26,15,OF1,Harry/EphysNeuropixelData/of/M26_D15_2024-11-01_11-16-09_OF1
26,15,OF2,Harry/EphysNeuropixelData/of/M26_D15_2024-11-01_12-27-30_OF2
26,15,VR,Harry/EphysNeuropixelData/vr/M26_D15_2024-11-01_11-46-47_VR1
26,16,OF1,Harry/EphysNeuropixelData/of/M26_D16_2024-11-02_12-35-57_OF1
26,16,OF2,Harry/EphysNeuropixelData/of/M26_D16_2024-11-02_13-38-03_OF2
26,16,VR,Harry/EphysNeuropixelData/vr/M26_D16_2024-11-02_13-03-03_VR1
26,17,OF1,Harry/EphysNeuropixelData/of/M26_D17_2024-11-04_13-30-22_OF1
26,17,OF2,Harry/EphysNeuropixelData/of/M26_D17_2024-11-04_14-30-33_OF2
26,17,VR,Harry/EphysNeuropixelData/vr/M26_D17_2024-11-04_13-55-14_VR1
26,18,OF1,Harry/EphysNeuropixelData/of/M26_D18_2024-11-05_13-40-54_OF1
26,18,OF2,Harry/EphysNeuropixelData/of/M26_D18_2024-11-05_14-45-57_OF2
26,18,VR,Harry/EphysNeuropixelData/vr/M26_D18_2024-11-05_14-10-30_VR1
26,19,OF1,Harry/EphysNeuropixelData/of/M26_D19_2024-11-07_13-15-00_OF1
26,19,OF2,Harry/EphysNeuropixelData/of/M26_D19_2024-11-07_14-26-55_OF2
26,19,VR,Harry/EphysNeuropixelData/vr/M26_D19_2024-11-07_13-46-35_VR1
27,16,OF1,Harry/EphysNeuropixelData/of/M27_D16_2024-11-01_12-55-59_OF1
27,16,OF2,Harry/EphysNeuropixelData/of/M27_D16_2024-11-01_13-58-31_OF2
27,16,VR,Harry/EphysNeuropixelData/vr/M27_D16_2024-11-01_13-21-07_VR1
27,17,OF1,Harry/EphysNeuropixelData/of/M27_D17_2024-11-02_14-09-52_OF1
27,17,OF2,Harry/EphysNeuropixelData/of/M27_D17_2024-11-02_15-09-36_OF2
27,17,VR,Harry/EphysNeuropixelData/vr/M27_D17_2024-11-02_14-36-28_VR1
27,18,OF1,Harry/EphysNeuropixelData/of/M27_D18_2024-11-04_15-22-01_OF1
27,18,OF2,Harry/EphysNeuropixelData/of/M27_D18_2024-11-04_16-21-49_OF2
27,18,VR,Harry/EphysNeuropixelData/vr/M27_D18_2024-11-04_15-46-12_VR1
27,19,OF1,Harry/EphysNeuropixelData/of/M27_D19_2024-11-05_15-25-49_OF1
27,19,OF2,Harry/EphysNeuropixelData/of/M27_D19_2024-11-05_16-25-36_OF2
27,19,VR,Harry/EphysNeuropixelData/vr/M27_D19_2024-11-05_15-51-02_VR1
27,20,OF1,Harry/EphysNeuropixelData/of/M27_D20_2024-11-07_15-06-30_OF1
27,20,OF2,Harry/EphysNeuropixelData/of/M27_D20_2024-11-07_16-24-19_OF2
27,20,VR,Harry/EphysNeuropixelData/vr/M27_D20_2024-11-07_15-37-18_VR1
27,21,OF1,Harry/EphysNeuropixelData/of/M27_D21_2024-11-08_13-05-59_OF1
27,21,OF2,Harry/EphysNeuropixelData/of/M27_D21_2024-11-08_14-18-53_OF2
27,21,VR,Harry/EphysNeuropixelData/vr/M27_D21_2024-11-08_13-37-37_VR1
27,22,OF1,Harry/EphysNeuropixelData/of/M27_D22_2024-11-09_15-55-17_OF1
27,22,OF2,Harry/EphysNeuropixelData/of/M27_D22_2024-11-09_16-58-12_OF2
27,22,VR,Harry/EphysNeuropixelData/vr/M27_D22_2024-11-09_16-21-21_VR1
27,23,OF1,Harry/EphysNeuropixelData/of/M27_D23_2024-11-10_14-37-22_OF1
27,23,OF2,Harry/EphysNeuropixelData/of/M27_D23_2024-11-10_15-38-08_OF2
27,23,VR,Harry/EphysNeuropixelData/vr/M27_D23_2024-11-10_15-02-44_VR1
27,24,OF1,Harry/EphysNeuropixelData/of/M27_D24_2024-11-11_14-46-25_OF1
27,24,OF2,Harry/EphysNeuropixelData/of/M27_D24_2024-11-11_16-02-46_OF2
27,24,VR,Harry/EphysNeuropixelData/vr/M27_D24_2024-11-11_15-16-45_VR1
27,26,OF1,Harry/EphysNeuropixelData/of/M27_D26_2024-11-13_15-09-43_OF1
27,26,OF2,Harry/EphysNeuropixelData/of/M27_D26_2024-11-13_16-12-24_OF2
27,26,VR,Harry/EphysNeuropixelData/vr/M27_D26_2024-11-13_15-34-42_VR1
28,16,OF1,Harry/EphysNeuropixelData/of/M28_D16_2024-12-03_14-26-36_OF1
28,16,OF2,Harry/EphysNeuropixelData/of/M28_D16_2024-12-03_15-41-47_OF2
28,16,VR,Harry/EphysNeuropixelData/vr/M28_D16_2024-12-03_14-59-56_VR1
28,17,OF1,Harry/EphysNeuropixelData/of/M28_D17_2024-12-04_13-03-41_OF1
28,17,OF2,Harry/EphysNeuropixelData/of/M28_D17_2024-12-04_14-22-08_OF2
28,17,VR,Harry/EphysNeuropixelData/vr/M28_D17_2024-12-04_13-39-51_VR1
28,18,OF1,Harry/EphysNeuropixelData/of/M28_D18_2024-12-05_13-35-51_OF1
28,18,OF2,Harry/EphysNeuropixelData/of/M28_D18_2024-12-05_14-55-39_OF2
28,18,VR,Harry/EphysNeuropixelData/vr/M28_D18_2024-12-05_14-05-52_VR1
28,19,OF1,Harry/EphysNeuropixelData/of/M28_D19_2024-12-06_13-48-00_OF1
28,19,OF2,Harry/EphysNeuropixelData/of/M28_D19_2024-12-06_15-00-06_OF2
28,19,VR,Harry/EphysNeuropixelData/vr/M28_D19_2024-12-06_14-17-06_VR1
28,20,OF1,Harry/EphysNeuropixelData/of/M28_D20_2024-12-07_13-18-37_OF1
28,20,OF2,Harry/EphysNeuropixelData/of/M28_D20_2024-12-07_14-32-58_OF2
28,20,VR,Harry/EphysNeuropixelData/vr/M28_D20_2024-12-07_13-46-36_VR1
28,21,OF1,Harry/EphysNeuropixelData/of/M28_D21_2024-12-08_13-21-17_OF1
28,21,OF2,Harry/EphysNeuropixelData/of/M28_D21_2024-12-08_14-26-25_OF2
28,21,VR,Harry/EphysNeuropixelData/vr/M28_D21_2024-12-08_13-47-33_VR1
28,22,OF1,Harry/EphysNeuropixelData/of/M28_D22_2024-12-09_13-13-46_OF1
28,22,OF2,Harry/EphysNeuropixelData/of/M28_D22_2024-12-09_14-29-12_OF2
28,22,VR,Harry/EphysNeuropixelData/vr/M28_D22_2024-12-09_13-41-22_VR1
28,23,OF1,Harry/EphysNeuropixelData/of/M28_D23_2024-12-10_13-52-49_OF1
28,23,OF2,Harry/EphysNeuropixelData/of/M28_D23_2024-12-10_15-02-45_OF2
28,23,VR,Harry/EphysNeuropixelData/vr/M28_D23_2024-12-10_14-22-28_VR1
28,25,OF1,Harry/EphysNeuropixelData/of/M28_D25_2024-12-12_14-34-21_OF1
28,25,OF2,Harry/EphysNeuropixelData/of/M28_D25_2024-12-12_15-45-33_OF2
28,25,VR,Harry/EphysNeuropixelData/vr/M28_D25_2024-12-12_15-01-27_VR1
29,16,OF1,Harry/EphysNeuropixelData/of/M29_D16_2024-12-03_16-45-51_OF1
29,16,OF2,Harry/EphysNeuropixelData/of/M29_D16_2024-12-03_18-29-16_OF2
29,16,VR,Harry/EphysNeuropixelData/vr/M29_D16_2024-12-03_17-17-41_VR1
29,17,OF1,Harry/EphysNeuropixelData/of/M29_D17_2024-12-04_14-58-49_OF1
29,17,OF2,Harry/EphysNeuropixelData/of/M29_D17_2024-12-04_16-23-33_OF2
29,17,VR,Harry/EphysNeuropixelData/vr/M29_D17_2024-12-04_15-24-58_VR1
29,18,OF1,Harry/EphysNeuropixelData/of/M29_D18_2024-12-05_15-33-16_OF1
29,18,OF2,Harry/EphysNeuropixelData/of/M29_D18_2024-12-05_16-47-08_OF2
29,18,VR,Harry/EphysNeuropixelData/vr/M29_D18_2024-12-05_16-00-15_VR1
29,19,OF1,Harry/EphysNeuropixelData/of/M29_D19_2024-12-06_15-36-36_OF1
29,19,OF2,Harry/EphysNeuropixelData/of/M29_D19_2024-12-06_16-49-43_OF2
29,19,VR,Harry/EphysNeuropixelData/vr/M29_D19_2024-12-06_16-05-54_VR1
29,20,OF1,Harry/EphysNeuropixelData/of/M29_D20_2024-12-07_14-59-34_OF1
29,20,OF2,Harry/EphysNeuropixelData/of/M29_D20_2024-12-07_16-28-59_OF2
29,20,VR,Harry/EphysNeuropixelData/vr/M29_D20_2024-12-07_15-26-10_VR1
29,21,OF1,Harry/EphysNeuropixelData/of/M29_D21_2024-12-08_14-48-03_OF1
29,21,OF2,Harry/EphysNeuropixelData/of/M29_D21_2024-12-08_16-02-09_OF2
29,21,VR,Harry/EphysNeuropixelData/vr/M29_D21_2024-12-08_15-18-33_VR1
29,22,OF1,Harry/EphysNeuropixelData/of/M29_D22_2024-12-09_14-56-37_OF1
29,22,OF2,Harry/EphysNeuropixelData/of/M29_D22_2024-12-09_16-10-55_OF2
29,22,VR,Harry/EphysNeuropixelData/vr/M29_D22_2024-12-09_15-25-45_VR1
29,23,OF1,Harry/EphysNeuropixelData/of/M29_D23_2024-12-10_15-35-45_OF1
29,23,OF2,Harry/EphysNeuropixelData/of/M29_D23_2024-12-10_16-54-51_OF2
29,23,VR,Harry/EphysNeuropixelData/vr/M29_D23_2024-12-10_16-14-56_VR1
29,25,OF1,Harry/EphysNeuropixelData/of/M29_D25_2024-12-12_16-11-29_OF1
29,25,OF2,Harry/EphysNeuropixelData/of/M29_D25_2024-12-12_17-21-13_OF2
29,25,VR,Harry/EphysNeuropixelData/vr/M29_D25_2024-12-12_16-37-02_VR1
